created_at,entry_id,temperature,humidity,moisture,field4
2020-09-10 23:55:51 WIB,3853, NAN, NAN,143,1962.89
2020-09-10 23:56:07 WIB,3854,26.6,93.1,139,1960.32
2020-09-10 23:56:24 WIB,3855,26.6,93.1,123,1958.89
2020-09-10 23:56:40 WIB,3856,26.6,93.1,114,1957.47
2020-09-10 23:56:56 WIB,3857,26.6,93.1,121,1959
2020-09-10 23:57:12 WIB,3858,26.6,93.1,144,1959.63
2020-09-10 23:57:28 WIB,3859,26.6,93.1,111,1964.37
2020-09-10 23:57:45 WIB,3860, NAN, NAN,114,1963.26
2020-09-10 23:58:01 WIB,3861,26.6,93.2,120,1958.58
2020-09-10 23:58:17 WIB,3862,26.6,93.6,137,1958.89
2020-09-10 23:58:33 WIB,3863,26.6,93.3,140,1957.74
2020-09-10 23:58:49 WIB,3864,26.6,93.2,137,1954.47
2020-09-10 23:59:06 WIB,3865,26.6,93.2,127,1951.47
2020-09-10 23:59:23 WIB,3866,26.6,93.1,152,1950.32
2020-09-10 23:59:39 WIB,3867,26.6,93.1,127,1946.32
2020-09-10 23:59:55 WIB,3868, NAN, NAN,136,1946.05
2020-09-11 00:00:11 WIB,3869,26.6,93.2,145,1945.84
2020-09-11 00:00:27 WIB,3870,26.6,93.7,115,1945
2020-09-11 00:00:44 WIB,3871,26.6,93.7,113,1945.68
2020-09-11 00:01:00 WIB,3872,26.6,93.2,100,1945.68
2020-09-11 00:01:16 WIB,3873,26.6,93.2,131,1943.68
2020-09-11 00:01:33 WIB,3874,26.6,93.3,148,1941.74
2020-09-11 00:01:49 WIB,3875,26.6,93.3,121,1937.16
2020-09-11 00:02:05 WIB,3876,26.5,93.7,131,1934.47
2020-09-11 00:02:21 WIB,3877,26.6,93.7,135,1929.05
2020-09-11 00:02:38 WIB,3878,26.5,93.2,131,1926.16
2020-09-11 00:02:54 WIB,3879,26.5,93.2,140,1921.53
2020-09-11 00:03:10 WIB,3880,26.5,93.2,132,1921.68
2020-09-11 00:03:27 WIB,3881,26.6,93.8,125,1920.26
2020-09-11 00:03:43 WIB,3882,26.6,93.2,138,1918.74
2020-09-11 00:03:59 WIB,3883,26.5,93.3,121,1918
2020-09-11 00:04:15 WIB,3884,26.5,93.2,144,1917.42
2020-09-11 00:04:31 WIB,3885,26.5,93.3,132,1915.68
2020-09-11 00:04:49 WIB,3886,26.5,93.3,135,1919.63
2020-09-11 00:05:05 WIB,3887,26.5,93.3,130,1920
2020-09-11 00:05:21 WIB,3888,26.5,93.3,144,1918.42
2020-09-11 00:05:37 WIB,3889,26.5,93.3,141,1917.58
2020-09-11 00:05:53 WIB,3890,26.5,93.3,134,1918.58
2020-09-11 00:06:10 WIB,3891,26.5,93.3,121,1917.16
2020-09-11 00:06:26 WIB,3892,26.5,93.3,137,1915.42
2020-09-11 00:06:42 WIB,3893,26.5,93.3,111,1912.89
2020-09-11 00:06:58 WIB,3894,26.5,93.3,120,1913.89
2020-09-11 00:07:14 WIB,3895,26.5,93.3,138,1915
2020-09-11 00:07:30 WIB,3896,26.5,93.3,131,1913.16
2020-09-11 00:07:46 WIB,3897,26.5,93.3,141,1911.58
2020-09-11 00:08:03 WIB,3898,26.5,93.3,138,1908.05
2020-09-11 00:08:19 WIB,3899,26.5,93.3,120,1907.47
2020-09-11 00:08:35 WIB,3900,26.5,93.3,141,1906.84
2020-09-11 00:08:52 WIB,3901,26.5,93.3,142,1907.47
2020-09-11 00:09:08 WIB,3902,26.5,93.3,121,1904.58
2020-09-11 00:09:24 WIB,3903,26.5,93.3,107,1904.89
2020-09-11 00:09:40 WIB,3904,26.5,93.8,133,1906.16
2020-09-11 00:09:57 WIB,3905,26.5,93.3,119,1907.58
2020-09-11 00:10:13 WIB,3906,26.5,93.3,112,1906.63
2020-09-11 00:10:29 WIB,3907,26.5,93.3,132,1909.11
2020-09-11 00:10:45 WIB,3908,26.5,93.3,124,1912.68
2020-09-11 00:11:01 WIB,3909,26.5,93.3,141,1911.16
2020-09-11 00:11:17 WIB,3910,26.5,93.3,122,1907.95
2020-09-11 00:11:34 WIB,3911,26.5,93.3,137,1906.53
2020-09-11 00:11:50 WIB,3912,26.5,93.3,131,1905.74
